W,20.0,5.0,30
W,20.0,3.0,150
W,19.0,4.0,0
W,20.0,4.0,0
W,22.0,4.0,0
W,23.0,4.0,0
W,20.0,9.0,30
W,20.0,13.0,30
W,20.0,17.0,30
W,20.0,21.0,30
W,20.0,25.0,30
W,20.0,7.0,150
W,20.0,11.0,150
W,20.0,15.0,150
W,20.0,19.0,150
W,20.0,23.0,150
W,19.0,8.0,0
W,20.0,8.0,0
W,22.0,8.0,0
W,23.0,8.0,0
W,19.0,12.0,0
W,20.0,12.0,0
W,22.0,12.0,0
W,23.0,12.0,0
W,19.0,16.0,0
W,20.0,16.0,0
W,22.0,16.0,0
W,23.0,16.0,0
W,19.0,20.0,0
W,20.0,20.0,0
W,22.0,20.0,0
W,23.0,20.0,0
W,19.0,24.0,0
W,20.0,24.0,0
W,22.0,24.0,0
W,23.0,24.0,0
P,21.0,4.0,300
P,21.0,4.0,60
P,20.0,3.0,300
P,20.0,5.0,60
P,19.0,3.0,0
P,19.0,5.0,0
P,4.0,3.0,0
P,5.0,3.0,360
P,6.0,3.0,240
P,7.0,3.0,0
P,8.0,3.0,180
P,9.0,3.0,300
P,10.0,3.0,60
P,11.0,3.0,180
P,12.0,3.0,60
P,13.0,3.0,0
P,4.0,4.0,240
P,5.0,4.0,120
P,6.0,4.0,240
P,7.0,4.0,240
P,8.0,4.0,240
P,9.0,4.0,120
P,10.0,4.0,180
P,11.0,4.0,0
P,12.0,4.0,120
P,13.0,4.0,0
P,4.0,5.0,180
P,5.0,5.0,120
P,6.0,5.0,0
P,7.0,5.0,180
P,8.0,5.0,300
P,9.0,5.0,240
P,10.0,5.0,360
P,11.0,5.0,120
P,12.0,5.0,300
P,13.0,5.0,120
P,14.0,3.0,240
P,15.0,3.0,60
P,16.0,3.0,60
P,17.0,3.0,240
P,14.0,4.0,240
P,15.0,4.0,60
P,16.0,4.0,60
P,17.0,4.0,0
P,4.0,7.0,360
P,4.0,8.0,360
P,4.0,9.0,240
P,4.0,10.0,120
P,4.0,11.0,240
P,4.0,12.0,360
P,4.0,13.0,120
P,4.0,14.0,240
P,4.0,15.0,180
P,4.0,16.0,120
P,5.0,7.0,0
P,5.0,8.0,180
P,5.0,9.0,180
P,5.0,10.0,180
P,5.0,11.0,240
P,5.0,12.0,300
P,5.0,13.0,60
P,5.0,14.0,240
P,5.0,15.0,0
