W,20.0,5.0,30
W,20.0,3.0,150
W,19.0,4.0,0
W,20.0,4.0,0
W,22.0,4.0,0
W,23.0,4.0,0
P,21.0,4.0,300
P,21.0,4.0,60
P,20.0,3.0,300
P,20.0,5.0,60
P,19.0,3.0,0
P,19.0,5.0,0
P,4.0,3.0,0
P,5.0,3.0,360
P,6.0,3.0,240
P,7.0,3.0,0
P,8.0,3.0,180
P,9.0,3.0,300
P,10.0,3.0,60
P,11.0,3.0,180
P,12.0,3.0,60
P,13.0,3.0,0
P,4.0,4.0,240
P,5.0,4.0,120
P,6.0,4.0,240
P,7.0,4.0,240
P,8.0,4.0,240
P,9.0,4.0,120
P,10.0,4.0,180
P,11.0,4.0,0
P,12.0,4.0,120
P,13.0,4.0,0
P,4.0,5.0,180
P,5.0,5.0,120
P,6.0,5.0,0
P,7.0,5.0,180
P,8.0,5.0,300
P,9.0,5.0,240
P,10.0,5.0,360
P,11.0,5.0,120
P,12.0,5.0,300
P,13.0,5.0,120
P,14.0,3.0,240
P,15.0,3.0,60
P,16.0,3.0,60
P,17.0,3.0,240
P,14.0,4.0,240
P,15.0,4.0,60
P,16.0,4.0,60
P,17.0,4.0,0
rW,3.0,2.0,-1
rW,4.0,2.0,-1
rW,5.0,2.0,-1
rW,6.0,2.0,-1
rW,7.0,2.0,-1
rW,8.0,2.0,-1
rW,9.0,2.0,-1
rW,10.0,2.0,-1
rW,11.0,2.0,-1
rW,12.0,2.0,-1
rW,13.0,2.0,-1
rW,14.0,2.0,-1
rW,15.0,2.0,-1
rW,16.0,2.0,-1
rW,17.0,2.0,-1
rW,18.0,2.0,-1
rW,19.0,2.0,-1
rW,20.0,2.0,-1
rW,21.0,2.0,-1
rW,22.0,2.0,-1
rW,23.0,2.0,-1
rW,24.0,2.0,-1
rW,25.0,2.0,-1
rW,26.0,2.0,-1
rW,27.0,2.0,-1
rW,28.0,2.0,-1
rW,29.0,2.0,-1
rW,30.0,2.0,-1
rW,31.0,2.0,-1
rW,32.0,2.0,-1
rW,33.0,2.0,-1
rW,34.0,2.0,-1
rW,35.0,2.0,-1
rW,36.0,2.0,-1
rW,37.0,2.0,-1
rW,38.0,2.0,-1
rW,38.0,3.0,-1
rW,38.0,4.0,-1
rW,38.0,5.0,-1
rW,38.0,6.0,-1
rW,38.0,7.0,-1
rW,38.0,8.0,-1
